MET: 00:00:00:073 | Thrust: 264.53 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 6.61
MET: 00:00:00:131 | Thrust: 209.84 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 11.86
MET: 00:00:00:186 | Thrust: 44.31 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 12.97
MET: 00:00:00:240 | Thrust: 92.61 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 15.28
MET: 00:00:00:299 | Thrust: 119.24 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 18.26
MET: 00:00:00:359 | Thrust: 59.72 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 19.76
MET: 00:00:00:419 | Thrust:  0.09 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 19.76
MET: 00:00:00:474 | Thrust:  0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 19.76
MET: 00:00:00:533 | Thrust: 39.77 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 20.75
MET: 00:00:00:587 | Thrust: 46.59 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 21.92
MET: 00:00:00:643 | Thrust: 26.08 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 22.57
MET: 00:00:00:703 | Thrust: 139.56 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 26.06
MET: 00:00:00:764 | Thrust: 189.23 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 30.79
MET: 00:00:00:823 | Thrust: 93.55 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 33.13
MET: 00:00:00:888 | Thrust: 119.33 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 36.11
MET: 00:00:00:953 | Thrust: 306.66 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 43.78
