MET: 00:00:00:085 | Thrust: 340.39 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 8.51
MET: 00:00:00:150 | Thrust: 155.21 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 12.39
MET: 00:00:00:206 | Thrust: 188.29 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 17.10
MET: 00:00:00:267 | Thrust: 383.54 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 26.69
MET: 00:00:00:332 | Thrust: 306.38 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 34.35
MET: 00:00:00:392 | Thrust: 56.43 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 35.76
MET: 00:00:00:468 | Thrust: 172.43 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 40.07
MET: 00:00:00:527 | Thrust: 239.47 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 46.05
MET: 00:00:00:583 | Thrust: 143.02 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 49.63
MET: 00:00:00:639 | Thrust:  7.03 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 49.80
MET: 00:00:00:697 | Thrust: 92.84 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 52.13
MET: 00:00:00:753 | Thrust: 79.05 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 54.10
MET: 00:00:00:813 | Thrust: 21.77 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 54.65
MET: 00:00:00:870 | Thrust: -0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 54.65
MET: 00:00:00:926 | Thrust: 35.75 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 55.54
MET: 00:00:00:985 | Thrust: 74.42 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 57.40
MET: 00:00:01:044 | Thrust: 41.63 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 58.44
MET: 00:00:01:106 | Thrust: 74.79 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 60.31
MET: 00:00:01:161 | Thrust: 194.09 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 65.16
MET: 00:00:01:224 | Thrust: 198.48 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 70.13
MET: 00:00:01:277 | Thrust: 37.15 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 71.05
MET: 00:00:01:336 | Thrust: 208.01 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 76.25
MET: 00:00:01:405 | Thrust: 359.91 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 85.25
MET: 00:00:01:465 | Thrust: 273.40 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 92.09
MET: 00:00:01:523 | Thrust: 38.74 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 93.06
MET: 00:00:01:585 | Thrust: 320.37 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 101.07
MET: 00:00:01:642 | Thrust: 352.91 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 109.89
MET: 00:00:01:703 | Thrust: 162.14 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 113.94
MET: 00:00:01:764 | Thrust: 85.25 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 116.07
MET: 00:00:01:827 | Thrust: 219.07 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 121.55
MET: 00:00:01:888 | Thrust: 182.62 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 126.11
MET: 00:00:01:958 | Thrust: 48.82 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 127.34
MET: 00:00:02:021 | Thrust: 60.73 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 128.85
MET: 00:00:02:107 | Thrust: 78.41 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 130.81
MET: 00:00:02:177 | Thrust: 32.05 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 131.62
MET: 00:00:02:242 | Thrust:  0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 131.62
MET: 00:00:02:307 | Thrust: 27.32 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 132.30
MET: 00:00:02:366 | Thrust: 79.98 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 134.30
MET: 00:00:02:430 | Thrust: 78.07 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 136.25
MET: 00:00:02:490 | Thrust: 21.11 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 136.78
MET: 00:00:02:550 | Thrust: 165.32 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 140.91
MET: 00:00:02:610 | Thrust: 232.95 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 146.73
MET: 00:00:02:667 | Thrust: 131.07 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 150.01
MET: 00:00:02:730 | Thrust: 110.80 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 152.78
MET: 00:00:02:788 | Thrust: 334.78 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 161.15
MET: 00:00:02:846 | Thrust: 357.67 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 170.09
MET: 00:00:02:904 | Thrust: 115.62 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 172.98
MET: 00:00:02:967 | Thrust: 217.47 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 178.42
MET: 00:00:03:031 | Thrust: 355.67 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 187.31
MET: 00:00:03:095 | Thrust: 247.73 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 193.50
MET: 00:00:03:153 | Thrust: 12.51 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 193.82
