MET: 00:00:00:094 | Thrust: 24.11 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 0.60
MET: 00:00:00:163 | Thrust: 255.93 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 7.00
MET: 00:00:00:234 | Thrust: 353.05 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 15.83
MET: 00:00:00:304 | Thrust: 203.34 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 20.91
MET: 00:00:00:371 | Thrust: 133.16 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 24.24
MET: 00:00:00:435 | Thrust: 364.80 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 33.36
MET: 00:00:00:503 | Thrust: 329.00 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 41.58
MET: 00:00:00:573 | Thrust: 98.24 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 44.04
MET: 00:00:00:643 | Thrust: 141.23 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 47.57
MET: 00:00:00:713 | Thrust: 235.15 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 53.45
MET: 00:00:00:785 | Thrust: 160.50 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 57.46
MET: 00:00:00:857 | Thrust: 14.51 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 57.83
MET: 00:00:00:923 | Thrust: 81.79 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 59.87
MET: 00:00:00:984 | Thrust: 79.98 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 61.87
MET: 00:00:01:048 | Thrust: 26.08 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 62.52
MET: 00:00:01:114 | Thrust:  0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 62.52
MET: 00:00:01:178 | Thrust: 33.02 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 63.35
MET: 00:00:01:241 | Thrust: 77.69 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 65.29
MET: 00:00:01:305 | Thrust: 56.38 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 66.70
MET: 00:00:01:368 | Thrust: 55.11 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 68.08
MET: 00:00:01:438 | Thrust: 185.85 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 72.72
MET: 00:00:01:512 | Thrust: 214.81 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 78.09
MET: 00:00:01:575 | Thrust: 74.10 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 79.95
MET: 00:00:01:638 | Thrust: 173.45 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 84.28
MET: 00:00:01:704 | Thrust: 355.56 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 93.17
MET: 00:00:01:761 | Thrust: 310.15 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 100.92
MET: 00:00:01:824 | Thrust: 20.50 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 101.44
MET: 00:00:01:885 | Thrust: 285.29 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 108.57
