MET: 00:00:00:095 | Thrust: 123.92 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 3.10
MET: 00:00:00:167 | Thrust: 371.66 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 12.39
MET: 00:00:00:248 | Thrust: 393.87 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 22.24
MET: 00:00:00:329 | Thrust: 105.95 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 24.88
MET: 00:00:00:409 | Thrust: 195.06 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 29.76
MET: 00:00:00:479 | Thrust: 316.04 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 37.66
MET: 00:00:00:550 | Thrust: 217.15 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 43.09
MET: 00:00:00:619 | Thrust: 11.24 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 43.37
MET: 00:00:00:694 | Thrust: 142.61 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 46.94
MET: 00:00:00:766 | Thrust: 159.67 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 50.93
MET: 00:00:00:834 | Thrust: 74.17 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 52.78
MET: 00:00:00:903 | Thrust: 13.88 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 53.13
MET: 00:00:00:973 | Thrust: 33.98 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 53.98
MET: 00:00:01:054 | Thrust: -0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 53.98
MET: 00:00:01:135 | Thrust: 17.22 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 54.41
MET: 00:00:01:232 | Thrust: 30.83 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 55.18
MET: 00:00:01:304 | Thrust: 113.35 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 58.02
MET: 00:00:01:383 | Thrust: 139.93 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 61.51
MET: 00:00:01:469 | Thrust: 44.40 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 62.62
MET: 00:00:01:573 | Thrust: 138.83 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 66.09
MET: 00:00:01:651 | Thrust: 278.21 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 73.05
MET: 00:00:01:747 | Thrust: 239.00 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 79.02
MET: 00:00:01:826 | Thrust:  0.95 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 79.05
MET: 00:00:01:900 | Thrust: 297.34 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 86.48
MET: 00:00:01:980 | Thrust: 437.44 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 97.42
MET: 00:00:02:050 | Thrust: 233.11 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 103.25
MET: 00:00:02:141 | Thrust: 78.06 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 105.20
MET: 00:00:02:232 | Thrust: 279.04 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 112.17
MET: 00:00:02:323 | Thrust: 264.97 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 118.80
MET: 00:00:02:400 | Thrust: 93.66 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 121.14
MET: 00:00:02:490 | Thrust: 85.15 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 123.27
MET: 00:00:02:570 | Thrust: 153.31 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 127.10
MET: 00:00:02:642 | Thrust: 102.28 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 129.66
MET: 00:00:02:730 | Thrust: 14.30 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 130.01
MET: 00:00:02:807 | Thrust: 24.56 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 130.63
MET: 00:00:02:884 | Thrust: -0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 130.63
MET: 00:00:02:962 | Thrust: 28.67 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 131.35
MET: 00:00:03:042 | Thrust:  3.32 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 131.43
