MET: 00:00:00:116 | Thrust: 291.97 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 7.30
MET: 00:00:00:211 | Thrust: 255.78 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 13.69
MET: 00:00:00:284 | Thrust: 73.46 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 15.53
MET: 00:00:00:370 | Thrust: 101.04 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 18.06
MET: 00:00:00:452 | Thrust: 156.80 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 21.98
MET: 00:00:00:532 | Thrust: 96.23 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 24.38
MET: 00:00:00:620 | Thrust:  7.18 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 24.56
MET: 00:00:00:695 | Thrust: 27.29 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 25.24
MET: 00:00:00:780 | Thrust: -0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 25.24
MET: 00:00:00:866 | Thrust: 26.05 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 25.89
MET: 00:00:00:952 | Thrust: 10.48 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 26.16
MET: 00:00:01:025 | Thrust: 99.13 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 28.64
MET: 00:00:01:103 | Thrust: 155.34 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 32.52
MET: 00:00:01:228 | Thrust: 93.79 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 34.86
MET: 00:00:01:307 | Thrust: 82.88 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 36.94
MET: 00:00:01:406 | Thrust: 260.29 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 43.44
MET: 00:00:01:489 | Thrust: 286.28 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 50.60
MET: 00:00:01:580 | Thrust: 94.94 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 52.97
MET: 00:00:01:684 | Thrust: 217.14 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 58.40
MET: 00:00:01:776 | Thrust: 434.64 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 69.27
MET: 00:00:01:862 | Thrust: 309.91 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 77.02
MET: 00:00:01:957 | Thrust: 16.43 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 77.43
MET: 00:00:02:040 | Thrust: 228.45 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 83.14
MET: 00:00:02:131 | Thrust: 279.41 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 90.12
MET: 00:00:02:225 | Thrust: 148.12 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 93.83
MET: 00:00:02:303 | Thrust: 34.94 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 94.70
MET: 00:00:02:385 | Thrust: 136.03 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 98.10
MET: 00:00:02:494 | Thrust: 115.12 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 100.98
MET: 00:00:02:581 | Thrust: 34.36 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 101.84
MET: 00:00:02:663 | Thrust: 15.46 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 102.22
MET: 00:00:02:745 | Thrust: -0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 102.22
MET: 00:00:02:824 | Thrust: 34.96 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 103.10
MET: 00:00:02:897 | Thrust: 17.67 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 103.54
MET: 00:00:02:972 | Thrust: 69.53 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 105.28
MET: 00:00:03:044 | Thrust: 159.00 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 109.25
MET: 00:00:03:122 | Thrust: 149.22 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 112.98
MET: 00:00:03:194 | Thrust:  0.35 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 112.99
MET: 00:00:03:278 | Thrust: 208.36 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 118.20
MET: 00:00:03:353 | Thrust: 318.10 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 126.15
MET: 00:00:03:427 | Thrust: 209.44 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 131.39
