MET: 00:00:02:916 | Thrust: 33.08 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 0.03
MET: 00:00:03:139 | Thrust: 10.60 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 0.30
MET: 00:00:03:244 | Thrust: 78.03 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 2.25
MET: 00:00:03:383 | Thrust: 159.96 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 6.25
MET: 00:00:03:462 | Thrust: 136.67 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 9.66
MET: 00:00:03:528 | Thrust: 21.19 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 10.19
MET: 00:00:03:597 | Thrust: 224.30 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 15.80
MET: 00:00:03:668 | Thrust: 313.68 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 23.64
MET: 00:00:03:742 | Thrust: 182.33 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 28.20
MET: 00:00:03:818 | Thrust: 121.88 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 31.25
MET: 00:00:03:905 | Thrust: 401.67 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 41.29
MET: 00:00:03:961 | Thrust: 365.20 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 50.42
MET: 00:00:04:020 | Thrust: 109.77 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 53.16
MET: 00:00:04:078 | Thrust: 162.00 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 57.22
MET: 00:00:04:132 | Thrust: 274.46 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 64.08
MET: 00:00:04:189 | Thrust: 192.29 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 68.88
MET: 00:00:04:242 | Thrust: 17.70 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 69.33
MET: 00:00:04:297 | Thrust: 109.30 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 72.06
MET: 00:00:04:368 | Thrust: 119.97 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 75.06
MET: 00:00:04:439 | Thrust: 52.03 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 76.36
MET: 00:00:04:493 | Thrust:  5.29 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 76.49
MET: 00:00:04:555 | Thrust: -0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 76.49
MET: 00:00:04:625 | Thrust: 38.82 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 77.46
MET: 00:00:04:684 | Thrust: 37.43 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 78.40
MET: 00:00:04:763 | Thrust: 41.58 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 79.44
MET: 00:00:04:845 | Thrust: 148.81 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 83.16
MET: 00:00:04:918 | Thrust: 178.82 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 87.63
MET: 00:00:05:005 | Thrust: 63.01 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 89.20
MET: 00:00:05:071 | Thrust: 152.28 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 93.01
MET: 00:00:05:125 | Thrust: 316.16 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 100.91
MET: 00:00:05:180 | Thrust: 278.64 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 107.88
MET: 00:00:05:241 | Thrust: 17.77 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 108.32
MET: 00:00:05:304 | Thrust: 314.49 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 116.19
MET: 00:00:05:366 | Thrust: 399.12 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 126.16
MET: 00:00:05:435 | Thrust: 221.83 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 131.71
MET: 00:00:05:528 | Thrust: 56.28 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 133.12
MET: 00:00:05:628 | Thrust: 238.22 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 139.07
MET: 00:00:05:749 | Thrust: 230.16 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 144.83
MET: 00:00:05:804 | Thrust: 85.67 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 146.97
MET: 00:00:05:856 | Thrust: 62.01 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 148.52
MET: 00:00:05:910 | Thrust: 113.44 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 151.36
MET: 00:00:05:967 | Thrust: 69.87 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 153.10
MET: 00:00:06:027 | Thrust:  8.79 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 153.32
MET: 00:00:06:085 | Thrust: -0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 153.32
MET: 00:00:06:147 | Thrust: 39.75 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 154.32
MET: 00:00:06:207 | Thrust: 59.62 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 155.81
MET: 00:00:06:267 | Thrust:  0.03 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 155.81
MET: 00:00:06:336 | Thrust: 119.19 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 158.79
MET: 00:00:06:407 | Thrust: 198.78 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 163.76
MET: 00:00:06:475 | Thrust: 139.39 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 167.24
MET: 00:00:06:533 | Thrust: 61.37 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 168.78
MET: 00:00:06:592 | Thrust: 279.42 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 175.76
MET: 00:00:06:653 | Thrust: 340.39 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 184.27
MET: 00:00:06:708 | Thrust: 155.21 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 188.15
MET: 00:00:06:785 | Thrust: 188.29 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 192.86
MET: 00:00:06:855 | Thrust: 383.54 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 202.45
MET: 00:00:06:916 | Thrust: 306.38 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 210.11
MET: 00:00:06:980 | Thrust: 56.43 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 211.52
MET: 00:00:07:041 | Thrust: 172.43 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 215.83
MET: 00:00:07:095 | Thrust: 239.47 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 221.81
MET: 00:00:07:150 | Thrust: 143.02 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 225.39
MET: 00:00:07:239 | Thrust:  7.03 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 225.57
MET: 00:00:07:339 | Thrust: 92.84 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 227.89
MET: 00:00:07:444 | Thrust: 79.05 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 229.86
MET: 00:00:07:513 | Thrust: 21.77 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 230.41
MET: 00:00:07:569 | Thrust: -0.00 | Chamber Pres: 100.00 | Throttle: 0.00 | Total Impulse: 230.41
MET: 00:00:07:636 | Thrust: 35.75 | Chamber Pres: 99.80 | Throttle: 0.00 | Total Impulse: 231.30
MET: 00:00:07:698 | Thrust: 74.42 | Chamber Pres: 99.21 | Throttle: 0.00 | Total Impulse: 233.16
MET: 00:00:07:765 | Thrust: 41.63 | Chamber Pres: 98.23 | Throttle: 0.00 | Total Impulse: 234.20
MET: 00:00:07:839 | Thrust: 74.79 | Chamber Pres: 96.86 | Throttle: 0.00 | Total Impulse: 236.07
MET: 00:00:07:911 | Thrust: 194.09 | Chamber Pres: 95.11 | Throttle: 0.00 | Total Impulse: 240.92
MET: 00:00:07:972 | Thrust: 198.48 | Chamber Pres: 92.98 | Throttle: 0.00 | Total Impulse: 245.89
MET: 00:00:08:034 | Thrust: 37.15 | Chamber Pres: 90.49 | Throttle: 0.00 | Total Impulse: 246.82
MET: 00:00:08:103 | Thrust: 208.01 | Chamber Pres: 87.64 | Throttle: 0.00 | Total Impulse: 252.02
MET: 00:00:08:162 | Thrust: 359.91 | Chamber Pres: 84.45 | Throttle: 0.00 | Total Impulse: 261.01
MET: 00:00:08:218 | Thrust: 273.40 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 267.85
MET: 00:00:08:276 | Thrust: 38.74 | Chamber Pres: 77.07 | Throttle: 0.00 | Total Impulse: 268.82
MET: 00:00:08:335 | Thrust: 320.37 | Chamber Pres: 80.92 | Throttle: 0.00 | Total Impulse: 276.83
